11,21,99,82,fan noise,extreme rattling noise coming from the fan,working
84,92,90,59,quick warm,computer is warming very quickly,new
94,50,77,36,cold burgers,your burgers are so cold,working
31,92,90,59,touchbar problem,touchbar doesn't work properly,deleted
27,21,99,56,working slow,computer is working very slow,new
69,37,46,3,incomplete equipment,some of neccessary equipments were absent,seen
19,92,46,3,broken leg,one leg of the table is broken,seen
96,19,90,59,slow work,computer is working very slow,new
27,92,99,82,working slow,laptop is working very slow,deleted
12,56,33,8,very flimsy,air jordans which i bought are very flimsy,fixed
